dataset	run	seed	mode	parameter	examples	classes	F1	trigger_rate	threshold
ecoli-0_vs_1	0	20260508	MV	0.0000	220	2	64.2857		
ecoli-0_vs_1	0	20260508	LAWMV	0.0000	220	2	93.7931		
ecoli-0_vs_1	0	20260508	original	0.1000	220	2	94.5946		
ecoli-0_vs_1	0	20260508	fixed_alpha	0.0100	220	2	95.2381	0.0136	0.0100
ecoli-0_vs_1	0	20260508	fixed_alpha	0.0300	220	2	95.2381	0.0227	0.0300
ecoli-0_vs_1	0	20260508	fixed_alpha	0.0500	220	2	95.2381	0.0364	0.0500
ecoli-0_vs_1	0	20260508	fixed_alpha	0.1000	220	2	94.5946	0.0773	0.1000
ecoli-0_vs_1	0	20260508	fixed_alpha	0.1500	220	2	94.5946	0.1591	0.1500
ecoli-0_vs_1	0	20260508	fixed_alpha	0.2000	220	2	94.5946	0.3000	0.2000
ecoli-0_vs_1	0	20260508	fixed_alpha	0.3000	220	2	94.5946	0.7318	0.3000
ecoli-0_vs_1	0	20260508	adaptive_quantile	0.1000	220	2	94.5946	0.0955	0.1120
ecoli-0_vs_1	0	20260508	adaptive_quantile	0.2000	220	2	94.5946	0.1955	0.1684
ecoli-0_vs_1	0	20260508	adaptive_quantile	0.3000	220	2	94.5946	0.2955	0.1989
ecoli-0_vs_1	1	20260509	MV	0.0000	220	2	69.8225		
ecoli-0_vs_1	1	20260509	LAWMV	0.0000	220	2	96.0000		
ecoli-0_vs_1	1	20260509	original	0.1000	220	2	95.3020		
ecoli-0_vs_1	1	20260509	fixed_alpha	0.0100	220	2	95.3020	0.0091	0.0100
ecoli-0_vs_1	1	20260509	fixed_alpha	0.0300	220	2	95.3020	0.0091	0.0300
ecoli-0_vs_1	1	20260509	fixed_alpha	0.0500	220	2	95.3020	0.0091	0.0500
ecoli-0_vs_1	1	20260509	fixed_alpha	0.1000	220	2	95.3020	0.0273	0.1000
ecoli-0_vs_1	1	20260509	fixed_alpha	0.1500	220	2	95.3020	0.0545	0.1500
ecoli-0_vs_1	1	20260509	fixed_alpha	0.2000	220	2	95.3020	0.0909	0.2000
ecoli-0_vs_1	1	20260509	fixed_alpha	0.3000	220	2	95.3020	0.4227	0.3000
ecoli-0_vs_1	1	20260509	adaptive_quantile	0.1000	220	2	95.3020	0.0955	0.2079
ecoli-0_vs_1	1	20260509	adaptive_quantile	0.2000	220	2	95.3020	0.1955	0.2364
ecoli-0_vs_1	1	20260509	adaptive_quantile	0.3000	220	2	95.3020	0.2955	0.2715
ecoli-0_vs_1	2	20260510	MV	0.0000	220	2	68.1818		
ecoli-0_vs_1	2	20260510	LAWMV	0.0000	220	2	95.2381		
ecoli-0_vs_1	2	20260510	original	0.1000	220	2	95.2381		
ecoli-0_vs_1	2	20260510	fixed_alpha	0.0100	220	2	95.2381	0.0045	0.0100
ecoli-0_vs_1	2	20260510	fixed_alpha	0.0300	220	2	95.2381	0.0227	0.0300
ecoli-0_vs_1	2	20260510	fixed_alpha	0.0500	220	2	95.2381	0.0273	0.0500
ecoli-0_vs_1	2	20260510	fixed_alpha	0.1000	220	2	95.2381	0.0364	0.1000
ecoli-0_vs_1	2	20260510	fixed_alpha	0.1500	220	2	95.2381	0.0773	0.1500
ecoli-0_vs_1	2	20260510	fixed_alpha	0.2000	220	2	95.2381	0.1409	0.2000
ecoli-0_vs_1	2	20260510	fixed_alpha	0.3000	220	2	95.2381	0.5682	0.3000
ecoli-0_vs_1	2	20260510	adaptive_quantile	0.1000	220	2	95.2381	0.0955	0.1706
ecoli-0_vs_1	2	20260510	adaptive_quantile	0.2000	220	2	95.2381	0.1955	0.2172
ecoli-0_vs_1	2	20260510	adaptive_quantile	0.3000	220	2	95.2381	0.2955	0.2485
ecoli-0_vs_1	3	20260511	MV	0.0000	220	2	71.2644		
