dataset	mode	parameter	examples	classes	mean_F1	std_F1	mean_trigger_rate	std_trigger_rate	mean_threshold	std_threshold
ecoli-0_vs_1	MV	0.0000	220	2	66.5523	6.1467				
ecoli-0_vs_1	LAWMV	0.0000	220	2	94.7888	2.5387				
ecoli-0_vs_1	original	0.1000	220	2	94.8874	1.7274				
ecoli-0_vs_1	fixed_alpha	0.0100	220	2	94.9330	1.7643	0.0091	0.0080	0.0100	0.0000
ecoli-0_vs_1	fixed_alpha	0.0300	220	2	95.0014	1.5525	0.0200	0.0150	0.0300	0.0000
ecoli-0_vs_1	fixed_alpha	0.0500	220	2	94.8762	1.9658	0.0327	0.0294	0.0500	0.0000
ecoli-0_vs_1	fixed_alpha	0.1000	220	2	94.8874	1.7274	0.0645	0.0574	0.1000	0.0000
ecoli-0_vs_1	fixed_alpha	0.1500	220	2	94.8166	1.6934	0.1250	0.1059	0.1500	0.0000
ecoli-0_vs_1	fixed_alpha	0.2000	220	2	94.8166	1.6934	0.2259	0.1701	0.2000	0.0000
ecoli-0_vs_1	fixed_alpha	0.3000	220	2	94.8166	1.6934	0.5914	0.2026	0.3000	0.0000
ecoli-0_vs_1	adaptive_quantile	0.1000	220	2	94.7484	1.9042	0.0955	0.0000	0.1525	0.0509
ecoli-0_vs_1	adaptive_quantile	0.2000	220	2	94.8166	1.6934	0.1955	0.0000	0.2026	0.0544
ecoli-0_vs_1	adaptive_quantile	0.3000	220	2	94.8166	1.6934	0.2955	0.0000	0.2310	0.0530
ecoli1	MV	0.0000	336	2	59.5821	5.3160				
ecoli1	LAWMV	0.0000	336	2	81.4737	3.1755				
ecoli1	original	0.1000	336	2	79.8094	2.0708				
ecoli1	fixed_alpha	0.0100	336	2	81.0392	2.9022	0.0140	0.0054	0.0100	0.0000
ecoli1	fixed_alpha	0.0300	336	2	80.9424	2.6708	0.0503	0.0111	0.0300	0.0000
ecoli1	fixed_alpha	0.0500	336	2	81.2541	2.7891	0.0792	0.0120	0.0500	0.0000
ecoli1	fixed_alpha	0.1000	336	2	79.8094	2.0708	0.1664	0.0266	0.1000	0.0000
ecoli1	fixed_alpha	0.1500	336	2	75.9192	2.2187	0.2560	0.0539	0.1500	0.0000
ecoli1	fixed_alpha	0.2000	336	2	73.9399	3.2993	0.3592	0.0992	0.2000	0.0000
ecoli1	fixed_alpha	0.3000	336	2	72.4846	4.8204	0.6390	0.2009	0.3000	0.0000
ecoli1	adaptive_quantile	0.1000	336	2	81.2305	2.8277	0.0982	0.0000	0.0617	0.0066
ecoli1	adaptive_quantile	0.2000	336	2	78.9014	1.5719	0.1994	0.0000	0.1305	0.0400
ecoli1	adaptive_quantile	0.3000	336	2	75.2232	2.1579	0.2976	0.0000	0.1852	0.0500
ecoli2	MV	0.0000	336	2	50.6857	11.3852				
ecoli2	LAWMV	0.0000	336	2	80.8071	6.2407				
ecoli2	original	0.1000	336	2	75.8526	7.9103				
ecoli2	fixed_alpha	0.0100	336	2	80.8719	6.3119	0.0110	0.0095	0.0100	0.0000
ecoli2	fixed_alpha	0.0300	336	2	80.9444	4.9210	0.0420	0.0278	0.0300	0.0000
